nazwa;typ;gmina;powiat;woj;teryt
Abramowice Kościelne;wieś;Głusk;lubelski;lubelskie;954722
Abramowice Prywatne;wieś;Głusk;lubelski;lubelskie;380988
Abramów;wieś;Goraj;biłgorajski;lubelskie;887629
Abramów;wieś;Abramów;lubartowski;lubelskie;378052
Abramy;wieś;Kałuszyn;miński;mazowieckie;673733
Achrymowce;wieś;Kuźnica;sokólski;podlaskie;33092
Adamczowice;wieś;Klimontów;sandomierski;świętokrzyskie;795726
Adamczycha;wieś;Baranowo;ostrołęcki;mazowieckie;505929
Adamek;wieś;Stąporków;konecki;świętokrzyskie;271532
Adamierz;wieś;Olesno;dąbrowski;małopolskie;825189
Adamierz;wieś;Zagórów;słupecki;wielkopolskie;301233
Adamin;wieś;Olszówka;kolski;wielkopolskie;289992
Adaminowo;wieś;Włocławek;włocławski;kujawsko-pomorskie;871522
Adamka;wieś;Zadzim;poddębicki;łódzkie;720119
Adamki;wieś;Zbójno;golubsko-dobrzyński;kujawsko-pomorskie;872272
Adamki;wieś;Błaszki;sieradzki;łódzkie;697716
Adamkowo;wieś;Kęsowo;tucholski;kujawsko-pomorskie;88621
Adamowa Góra;wieś;Młodzieszyn;sochaczewski;mazowieckie;731703
Adamowice;wieś;Kutno;kutnowski;łódzkie;568628
Adamowice;wieś;Gołcza;miechowski;małopolskie;319032
Adamowice;wieś;Mszczonów;żyrardowski;mazowieckie;732335
Adamowice;wieś;Lyski;rybnicki;śląskie;216295
Adamowizna;wieś;Grodzisk Mazowiecki;grodziski;mazowieckie;2111
Adamowizna;wieś;Szypliszki;suwalski;podlaskie;770011
Adamowo;wieś;Jabłonowo Pomorskie;brodnicki;kujawsko-pomorskie;844703
Adamowo;wieś;Chrostkowo;lipnowski;kujawsko-pomorskie;861311
Adamowo;wieś;Czerwonka;makowski;mazowieckie;508566
Adamowo;wieś;Strzegowo;mławski;mazowieckie;126468
Adamowo;wieś;Joniec;płoński;mazowieckie;116582
Adamowo;wieś;Nowe Miasto;płoński;mazowieckie;120690
Adamowo;wieś;Mochowo;sierpecki;mazowieckie;571168
Adamowo;wieś;Długosiodło;wyszkowski;mazowieckie;509169
Adamowo;wieś;Bieżuń;żuromiński;mazowieckie;111952
Adamowo;wieś;Stary Dzierzgoń;sztumski;pomorskie;157026
Adamowo;wieś;Lidzbark;działdowski;warmińsko-mazurskie;117890
Adamowo;wieś;Elbląg;elbląski;warmińsko-mazurskie;149222
Adamowo;wieś;Susz;iławski;warmińsko-mazurskie;157948
Adamowo;wieś;Biskupiec;olsztyński;warmińsko-mazurskie;471403
Adamowo;wieś;Kleczew;koniński;wielkopolskie;286189
Adamowo;wieś;Wolsztyn;wolsztyński;wielkopolskie;916220
Adamowo-Zastawa;wieś;Mielnik;siemiatycki;podlaskie;34915
Adamów;wieś;Cyców;łęczyński;lubelskie;101882
Adamów;wieś;Adamów;łukowski;lubelskie;667891
Adamów;wieś;Adamów;zamojski;lubelskie;884861
Adamów;wieś;Brzeziny;brzeziński;łódzkie;725341
Adamów;wieś;Kutno;kutnowski;łódzkie;568887
Adamów;wieś;Opoczno;opoczyński;łódzkie;546880
Adamów;wieś;Paradyż;opoczyński;łódzkie;547773
Adamów;wieś;Żarnów;opoczyński;łódzkie;557576
Adamów;wieś;Łęki Szlacheckie;piotrkowski;łódzkie;544964
Adamów;wieś;Wolbórz;piotrkowski;łódzkie;556128
Adamów;wieś;Poddębice;poddębicki;łódzkie;710256
Adamów;wieś;Ładzice;radomszczański;łódzkie;544734
Adamów;wieś;Nowy Kawęczyn;skierniewicki;łódzkie;734156
Adamów;wieś;Budziszewice;tomaszowski;łódzkie;536806
Adamów;wieś;Promna;białobrzeski;mazowieckie;632651
Adamów;wieś;Szczawin Kościelny;gostyniński;mazowieckie;577627
Adamów;wieś;Grodzisk Mazowiecki;grodziski;mazowieckie;2157
Adamów;wieś;Głowaczów;kozienicki;mazowieckie;619142
Adamów;wieś;Sienno;lipski;mazowieckie;636229
Adamów;wieś;Dobre;miński;mazowieckie;670210
Adamów;wieś;Wierzbno;węgrowski;mazowieckie;693411
Adamów;wieś;Kłomnice;częstochowski;śląskie;134083
Adamów;wieś;Smyków;konecki;świętokrzyskie;269908
Adamów;wieś;Lipnik;opatowski;świętokrzyskie;797100
Adamów;wieś;Opatów;opatowski;świętokrzyskie;801177
Adamów;wieś;Brody;starachowicki;świętokrzyskie;230622
