nazwa;n
Nowa Wieś;113
Dąbrowa;92
Zalesie;86
Dąbrówka;65
Józefów;49
Kamionka;41
Ruda;39
Janów;39
Zawady;39
Stanisławów;38
Piaski;37
Borki;37
Aleksandrów;35
Władysławów;34
Ostrów;34
Zawada;33
Kąty;33
Nowy Dwór;32
Brzeziny;32
Stara Wieś;31
Biskupice;30
Podlesie;29
Marianów;29
Michałów;28
Osiek;28
Adamów;28
Wygoda;28
Górki;28
Dębina;28
Janowo;28
Zagórze;27
Ostrówek;27
Helenów;27
Wólka;26
Siedliska;26
Lipiny;25
Kamień;25
Wolica;24
Łazy;24
Wymysłów;24
Huta;24
Józefowo;24
Bielawy;23
Nowiny;23
Grabowo;23
Zabłocie;22
Zakrzewo;22
Osiny;22
Laski;21
Hucisko;21
Piotrowice;21
Góra;21
Gaj;21
Grądy;20
Biała;20
Ludwików;20
Wysoka;20
Janowice;20
Kawęczyn;20
Julianów;20
Grabowiec;20
Budy;20
Ludwinów;19
Jankowice;19
Bukowiec;19
Konary;19
Marysin;19
Brzeźno;18
Olszanka;18
Psary;18
Dąbie;18
Marianka;18
Rudka;18
Rudniki;18
Wojciechów;18
Góry;17
Borek;17
Brzezie;17
Grabina;17
Brzeźnica;17
Grodzisko;17
Łagiewniki;16
Pawłowice;16
Dobra;16
Dąbrowica;16
Mokre;16
Trzcianka;16
Lipie;16
Zarzecze;16
Podgórze;16
Adamowo;16
Anielin;16
Długie;16
Romanów;15
Mościska;15
Grabówka;15
Łaziska;15
Zakrzów;15
Wysokie;15
Wincentów;15
Bronisławów;15
Bugaj;15
Lipa;15
Kamieniec;15
Stefanów;14
Kazimierzów;14
Piaseczno;14
Komorowo;14
Piekary;14
Borowo;14
Dębowiec;14
Żuków;14
Siedlec;14
Rybaki;14
Teodorów;14
Aleksandrówka;14
Mała Wieś;14
Zamość;14
Brzozówka;14
Komorów;14
Janówek;14
Rudno;13
Jeziorki;13
Emilianów;13
Olszewo;13
Dębno;13
Ogrodniki;13
Zakrzew;13
Ostrowite;13
Jakubów;13
Lipno;13
Sokolniki;13
Jasień;13
Borów;13
Wierzbica;13
Brody;13
Pieńki;13
Sitno;13
Trzciniec;13
Niedźwiedź;13
Zaborze;13
Bobrowniki;13
Antoniów;13
Komorniki;13
Popowo;13
Majdan;13
Rudnik;12
Zaborowo;12
Rogowo;12
Woźniki;12
Janówka;12
Marianowo;12
Kozłów;12
Borowiec;12
Karolew;12
Pawłowo;12
Cegielnia;12
Pawłów;12
Wilków;12
Krępa;12
Ignaców;12
Krasne;12
Błonie;12
Józefin;12
Żerniki;11
Rogów;11
Wielka Wieś;11
Gródek;11
Żdżary;11
Strzelce;11
