nazwa;woj;n
Księginice;dolnośląskie;5
Nowy Dwór;dolnośląskie;5
Piotrowice;dolnośląskie;5
Osiek;dolnośląskie;4
Szymanów;dolnośląskie;4
Michałowice;dolnośląskie;4
Komorniki;dolnośląskie;3
Krzyżowa;dolnośląskie;3
Witków;dolnośląskie;3
Dąbrowa;dolnośląskie;3
Wierzchowice;dolnośląskie;3
Sokolniki;dolnośląskie;3
Konary;dolnośląskie;3
Brochocin;dolnośląskie;3
Czerna;dolnośląskie;3
Wilków;dolnośląskie;3
Kamień;dolnośląskie;3
Słup;dolnośląskie;3
Baranowice;dolnośląskie;3
Skała;dolnośląskie;3
Grodziszcze;dolnośląskie;3
Zabłocie;dolnośląskie;3
Psary;dolnośląskie;3
Nowa Wieś;dolnośląskie;3
Kotowice;dolnośląskie;3
Koźlice;dolnośląskie;3
Raków;dolnośląskie;3
Borów;dolnośląskie;3
Dankowice;dolnośląskie;3
Smardzów;dolnośląskie;3
Łomnica;dolnośląskie;3
Piekary;dolnośląskie;3
Biskupice;dolnośląskie;3
Czernica;dolnośląskie;3
Różana;dolnośląskie;3
Pisarzowice;dolnośląskie;3
Jakubów;dolnośląskie;3
Turów;dolnośląskie;3
Sulisławice;dolnośląskie;3
Szczepanów;dolnośląskie;3
Sieniawka;dolnośląskie;2
Lubiatów;dolnośląskie;2
Boleścin;dolnośląskie;2
Strzelce;dolnośląskie;2
Wilczyce;dolnośląskie;2
Jenkowice;dolnośląskie;2
Radomierzyce;dolnośląskie;2
Miłocice;dolnośląskie;2
Dobra;dolnośląskie;2
Błotnica;dolnośląskie;2
Lubnów;dolnośląskie;2
Lasowice;dolnośląskie;2
Ligota;dolnośląskie;2
Pokrzywnik;dolnośląskie;2
Bystrzyca;dolnośląskie;2
Nowa Kuźnia;dolnośląskie;2
Lutynia;dolnośląskie;2
Przedmoście;dolnośląskie;2
Siedlce;dolnośląskie;2
Chełm;dolnośląskie;2
Korytów;dolnośląskie;2
Wielowieś;dolnośląskie;2
Ścinawa;dolnośląskie;2
Czerńczyce;dolnośląskie;2
Domanice;dolnośląskie;2
Dobroszów;dolnośląskie;2
Marcinowice;dolnośląskie;2
Bielawa;dolnośląskie;2
Wilczków;dolnośląskie;2
Gola;dolnośląskie;2
Dąbie;dolnośląskie;2
Lisowice;dolnośląskie;2
Potoczek;dolnośląskie;2
Janówek;dolnośląskie;2
Lipnica;dolnośląskie;2
Brunów;dolnośląskie;2
Bronów;dolnośląskie;2
Sadków;dolnośląskie;2
Prusice;dolnośląskie;2
Ligota Wielka;dolnośląskie;2
Ustronie;dolnośląskie;2
Biała;dolnośląskie;2
Brennik;dolnośląskie;2
Pietrzykowice;dolnośląskie;2
Dąbrowica;dolnośląskie;2
Rybnica;dolnośląskie;2
Gogołowice;dolnośląskie;2
